侷	局
跼	局
雋	隽
痾	疴
釐	厘
裏	裡
蒞	莅
貓	猫
犛	牦
氂	牦
冪	幂
瞇	眯
祕	秘
暱	昵
唸	念
皰	疱
慼	戚
棲	栖
潛	潜
卻	却
羣	群
羶	膻
蔘	参
蝨	虱
屍	尸
溼	湿
諡	謚
豎	竪
蒐	搜
託	托
輓	挽
餵	喂
蝟	猬
甕	瓮
絃	弦
閒	閑
嫺	嫻
秈	籼
蠍	蝎
攜	携
洶	汹
兇	凶
繡	綉
鏽	銹
敘	叙
勳	勛
壎	塤
贗	贋
菸	煙
鼴	鼹
醃	腌
嚥	咽
驗	験 騐 驗
餚	肴
窯	窑
窰	窑
慇	殷
湧	涌
慾	欲
癒	瘉
鬱	欝
嶽	岳 嶽
韻	韵
災	灾
佔	占
梔	栀
週	周
豬	猪
茲	兹
傯	偬
擡	抬
竊	窃
癡	痴
齶	腭
蹤	踪
鱷	鰐
臺	台
籤	籖
纖	纎
懺	懴
讖	䜟
離	离
聲	声
於	于
